"Mot_Expression","Definition_Kreyol"
"Abiman","Fason ou abiye ak swen ak bèl rad."
"Achte","Bay kòb pou jwenn yon bagay oswa sèvis."
"Afè","Zafè enpòtan ki bezwen atansyon espesyal."
"Afouye","Foye pou jwenn yon bagay kache anba tè."
"Agreman","Akseptasyon oswa pèmisyon bay ofisyèlman."
"Ajenou","Mete jenou atè pou priye oswa respekte."
"Akeyans","Fason akeyi yon moun ak jantiyès."
"Aklere","Bay limyè sou yon bagay pou konprann."
"Akòde","Bay yon bagay a yon moun ofisyèlman."
"Aktif","Moun ki travay anpil ak enèji."
"Alatèt","Premye plas oswa pi gwo responsab."
"Aletranje","Nan peyi etranje ki lwen peyi w."
"Alèz","Santi ou alèz san gad dèyè."
"Alimante","Bay manje oswa enèji pou fonksyone."
"Amontre","Fè wè yon bagay bay lòt moun."
"Amou","Santiman fò ki rann yon moun trè chè."
"Anchèn","Mare ak chèn oswa anba dominasyon."
"Angaje","Pran responsablite pou fè yon bagay."
"Angoudi","Yon pati kò ki pa santi anyen."
"Anpil","Yon gwo kantite bagay ansanm."
"Anpòte","Pran yon bagay ale nan yon lòt kote."
"Anrasinen","Gen rasin fò nan yon kote oswa tradisyon."
"Antann","Konprann mesaj yon moun voye ba ou."
"Antre","Pase anndan yon kote oswa yon espas."
"Apiye","Mete yon bagay kont yon lòt pou kenbe."
"Aprezan","Nan moman sa a ki pase kounye a."
"Aranman","Fason ou òganize bagay yo pou mache."
"Atik","Ecri kout ki bay enfòmasyon sou yon sijè."
"Atire","Fè yon moun vle vini kote ou."
"Atout","Avantaj espesyal yon moun genyen."
"Avanse","Ale pi devan oswa fè pwogrè."
"Avètisman","Mesaj ki di ou danje ka rive."
"Ayiti","Peyi nan Karayib ki te premye repiblik nwa."
"Bak","Retounen oswa ale nan direksyon dèyè."
"Balanse","Kenbe ekiliblè pou pa tonbe."
"Ban","Pou ban mwen oswa remèt mwen."
"Bannann","Fwi jòn ki tre manje an Ayiti."
"Bato","Veyikil ki vwayaje sou dlo."
"Bèl","Yon bagay ki bèl pou gade."
"Benediksyon","Favè Bondye bay yon moun."
"Bèt","Zanimo oswa yon moun ki aji mal."
"Biwo","Kote travay fèt ak biwo ak chèz."
"Biznis","Activite komèsyal pou fè lajan."
"Blag","Yon pawòl drôl pou fè moun ri."
"Blan","Koulè ki klè tankou nèj."
"Bon","Sa ki gen bon kalite oswa bon volonte."
"Bondye","Kreyatè linivè selon kwayans relijye."
"Boukan","Dife ki fèt deyò yo allume lannuit."
"Boulanje","Moun ki fè ak vann pen nan boutik."
"Bourik","Bèt travay oswa moun entelijan ki fò."
"Bout","Fen oswa yon ti moso yon bagay."
"Brase","Melanje bagay ansanm pou fòme yon sòs."
"Bravo","Pawòl pou felisite moun ki fè yon bon bagay."
"Bwè","Avale yon likid atravè bouch ou."
"Bwa","Materyèl di ki soti nan pyebwa."
"Charye","Pote oswa transpòte yon bagay yon kote."
"Chanje","Bay yon bagay pou yon lòt oswa transfòme."
"Chanpyon","Moun ki genyen nan yon konpetisyon."
"Chante","Pwodui mizik ak vwa ou."
"Chèche","Eseye jwenn yon bagay ou bezwen."
"Chemen","Wout pou ale nan yon kote."
"Chita","Mete dèyè ou sou yon chèz oswa atè."
"Cho","Ak anpil chalè soti nan dife."
"Chofè","Moun ki kondui machin pou transpò."
"Chofe","Rann yon bagay cho ak chalè."
"Chrétyen","Moun ki kwè nan Jezi-Kri."
"Danjere","Sa ki kapab fè mal oswa koz aksidan."
"Dantan","Lontan pase anvan jodi a."
"Deba","Diskisyon kote plizyè moun pa dakò."
"Deblozay","Gwo dezòd ak bri nan yon kote."
"Degaje","Jwenn solisyon pou pwoblèm pa mwayen."
"Degoute","Santi yon move gou nan bouch ou."
"Dekore","Mete bèl bagay pou rann yon kote bèl."
"Demode","Bagay ki pa alamòd ankò jodi a."
"Denye","Di ke yon bagay se pa vre."
"Depann","Bezwen soutyen yon lòt pou viv."
"Deside","Chwazi yon opsyon pami plizyè chwa."
"Devwa","Travay ou dwe fè kòm obligasyon."
"Dezas","Gwo malè ki frape anpil moun."
"Dife","Chalè ak limyè ki soti nan brile."
"Difisil","Ki pa fasil pou fè oswa konprann."
"Disip","Elèv ki swiv ansèyman yon mèt."
"Djòl","Bouch oswa moun ki pale anpil."
"Dlo","Likid san koulè ki nesesè pou viv."
"Domi","Fèmen je pou rpoze kò sou kabann."
"Dous","Ki pa gen anpil sèl oswa sikre."
"Dwa","Sa ou gen pèmisyon fè selon lalwa."
"Echanje","Bay yon bagay pou resevwa yon lòt."
"Ekonomi","Jesyon bon rezous finansye yon peyi."
"Ekri","Mete mo sou papye ak plim."
"Elèv","Moun ki al lekòl pou aprann."
"Enbesil","Moun ki pa entèlijan oswa ki fè betiz."
"Enkyetid","Santiman pè oswa souri sou yon bagay."
"Entèlijan","Moun ki gen bon kapasite pou konprann."
"Espwa","Kwayans ke yon bon bagay ap rive."
"Eta","Kondisyon yon bagay oswa yon peyi."
"Fache","Santi kolè poutèt yon bagay ki fèt."
"Fanmi","Gwoup moun ki gen menm san."
"Fè","Reyalize yon aksyon oswa kreye yon bagay."
"Fèt","Selebrasyon pou yon evenman espesyal."
